No.,Item,Sub-Item,Quantity,Unit
,Pochi ndogo katani,,4,pieces
,Pochi Lether,,1,pcs
55,Pensi Pareo,,5,pcs
,Cooking Hepron,,8,pcs
56,Table Matt Singida,with Shanga Big,44,pcs
56,Table Matt Singida,Plain Big,27,pcs (24+3)
56,Table Matt Rwanda,Big,4,pcs
56,Table Matt Rwanda,Medium,9,pcs
56,Table Matt Rwanda,Small,5,pcs
,Bakuli Singida,with Shanga Medium,14,pcs
57,Tray Rwanda (wood),Big,3,pics
58,Table Matts Mgomba,Big,23,pcs
58,Table Matts Nyasi,Big,3,pcs
59,Bicycle,,5,pces
60,Bakuli Uganda,Big,3,pcs (2+1)
60,Bakuli Uganda,small,4,pcs
61,Bakuli Rwanda,Big,4,pcs (3+1)
61,Bakuli Rwanda,Medium,17,pcs
61,Bakuli Rwanda,Small,15,pcs
